Category,Item Name,Item Code,Size,Finish,PCS / Set,SPU,MRP (?),New Product
General Hardware,Flap Stay FPS2 Large (230mm) BR Set of 2 Pcs 25 352,TB40,300 mm | 400 mm | 500 mm,BR/WM,Set of 2 Pcs,1,"1,029",
General Hardware,Table Bracket,TB50,400 mm | 500 mm | 600 mm,BR/WM,Set of 2 Pcs,1,"1,244",
General Hardware,Table Bracket,TB60,500 mm | 600 mm | 300 mm,BR/WM,Set of 2 Pcs,1,"1,762",
General Hardware,Table Bracket,TBR30,600 mm | 300 mm,,Set of 2 Pcs,1,"1,094",
General Hardware,Table Bracket - Recessed TBR40 400 mm AT /WM Set of 2 Pcs 1 1305,TBR50,400 mm | 500 mm,,Set of 2 Pcs,1,"1,545",
General Hardware,Table Bracket - Recessed TBR40 400 mm AT /WM Set of 2 Pcs 1 1305,TBM-225,500 mm | 225 mm,BR/WM,Set of 2 Pcs,1,464,
General Hardware,Table Bracket - Mini,TBM-325,225 mm | 325 mm,BR/WM,Set of 2 Pcs,1,594,
General Hardware,Table Bracket - Mini,TBD-7L,325 mm,,Each,,446,
General Hardware,Table Bracket Damper,TBD-25H,,,Each,,446,
General Hardware,Table Bracket Damper,FLB-35,350 mm,BR,Set of 2 Pcs,350,529,
General Hardware,Folding Bracket 350 & 450,FLB-45,450 mm,BR,Set of 2 Pcs,,720,
General Hardware,Folding Bracket 350 & 450,FUT60,600 mm,,,1,"2,876",
General Hardware,Folding Bracket 350 & 450,FUT75,600 mm | 750 mm | 900 mm,,,1,"3,452",
General Hardware,Folding Utility Table,FUT90,750 mm | 900 mm,,,1,"4,046",
General Hardware,Folding Utility Table,FUT120,900 mm | 1200 mm,,,1,"5,304",
General Hardware,"(Folding mechanism ø76 mm,",FTM1,154 mm | 154 x 154,BL,Each,2,"1,513",
General Hardware,"Twin with 1100mm Bar ?76 mm,",FTMT1-11,1100 mm | 76 mm | 1204 x 293 x 160,BL,Each,,"3,699",
General Hardware,Wall Mounted Folding,WMDR,800 x 400,,Each,400,"1,950",
General Hardware,Drying Rack,CPDS30-I-35,300 mm,ZW,Set of 2 Pcs,300,699,
General Hardware,Drying Rack,CPDS35-I-35,350 mm,ZW,Set of 2 Pcs,350,814,
General Hardware,Drying Rack,CPDS40-I-35,400 mm,ZW,Set of 2 Pcs,400,937,
General Hardware,Cabinet Pocket Door Slide,CPDS45-I-35,450 mm,ZW,Set of 2 Pcs,450,"1,049",
General Hardware,Cabinet Pocket Door Slide,CPDS50-I-35,500 mm,ZW,Set of 2 Pcs,500,"1,172",
General Hardware,Cabinet Pocket Door Slide,CPDS55-I-35,550 mm,ZW,Set of 2 Pcs,550,"1,278",
General Hardware,Table Lift 200 - with,TL-200-D,200 mm,,Pair,1,"2,715",
General Hardware,TTM2-12 TTM2-12 Weight:690g,TTM3G-8,202 mm | 85 mm,ZW,Each,,942,
General Hardware,Glass,TTM3G-14,350 mm | 10 mm,ZW,meter,,"1,285",
General Hardware,Glass,TTM-100,10 mm | 11 mm | 100 x 100 x 11 | 14 mm,,Each,10,175,
General Hardware,Turn Table Mechanism TTM-150 150 x 150 x 14 mm SL Each 3 323,TTM-200,14 mm | 150 x 150 x 14 | 20 mm | 200 x 200 x 20,,Each,2,507,
General Hardware,Turn Table Mechanism,TTMH-200,20 mm | 200 x 200 x 20 | 21 mm | 200 x 200 x 21,,Each,21,690,
General Hardware,Rotation Mechanism for,RMD,465 x 155 x 20,BL,Each,20,"3,251",
Joinery Fittings & Screws,Cap for CSK Screw CSKCAP1 ? 135 x 38 BR Each 25006 /10000pcs,HFS22,22 mm | 26 mm,,Nos,500,148,
Joinery Fittings & Screws,Cap for CSK Screw CSKCAP1 ? 135 x 38 BR Each 25006 /10000pcs,HFS26,22 mm | 26 mm | 32 mm,,Nos,500,161,
Joinery Fittings & Screws,Handle Fitting Screws,HFS32,26 mm | 32 mm | 38 mm,,Nos,500,195,
Joinery Fittings & Screws,Handle Fitting Screws,HFS38,32 mm | 38 mm | 22 mm,,Nos,500,217,
Joinery Fittings & Screws,Handle Fitting Screws,HFS22-SS,38 mm | 22 mm | 26 mm,SS/SS,nos.,100,434,
Joinery Fittings & Screws,Handle Fitting Screws,HFS26-SS,22 mm | 26 mm,SS/SS,nos.,100,472,
Joinery Fittings & Screws,Handle Fitting Screws,HFS32-SS,26 mm | 32 mm | 38 mm,SS/SS,nos.,100,537,
Joinery Fittings & Screws,Handle Fitting Screws,HFS38-SS,32 mm | 38 mm,SS/SS,nos.,100,637,
Joinery Fittings & Screws,PF-F Ø 20 WH Each 200 574 /200 pcs,HAPS-108,10x80,,Each,,39,
Joinery Fittings & Screws,PF-F Ø 20 WH Each 200 574 /200 pcs,HAPS-1010,10x80 | 10x100,,Each,,44,
Joinery Fittings & Screws,Anchor Plug with Screw,HAPS-1012,10x100 | 10x120,,Each,,48,
Joinery Fittings & Screws,Hex (Head),HAPS-1014,10x120 | 10x140,,Each,,55,
Joinery Fittings & Screws,Hex (Head),HAPS-1016,10x140 | 10x160 | 60 mm | 8 x 60,,Each,,58,
Joinery Fittings & Screws,Hex (Head),CAPS-86,10x160 | 60 mm | 8 x 60 | 80 mm,,Each,,12,
Joinery Fittings & Screws,Hex (Head),CAPS-88,60 mm | 8 x 60 | 80 mm | 8 x 80,,Each,,15,
Joinery Fittings & Screws,Hex (Head),CAPS-810,80 mm | 8 x 80 | 8x100 | 10x80,,Each,,17,
Joinery Fittings & Screws,Hex (Head),CAPS-108,8x100 | 10x80,,Each,,24,
Joinery Fittings & Screws,(CSK Head),CAPS-1010,10x80 | 10x100 | 10x120,,Each,,26,
Joinery Fittings & Screws,(CSK Head),CAPS-1012,10x100 | 10x120 | 10x140,,Each,,29,
Joinery Fittings & Screws,(CSK Head),CAPS-1014,10x120 | 10x140 | 10x160,,Each,,37,
Joinery Fittings & Screws,(CSK Head),CAPS-1016,10x140 | 10x160,,Each,,41,
Premium Locks,Multi Purpose Lock -,P-MPL1-22,19 mm,,Each,20,412,
Premium Locks,Receiver Plate,P-FMDL-48-22,19 mm | 480 mm | 580 mm,,Each,25,529,
Premium Locks,"(480 / 580mm) Cutout: Ø 19 mm,",P-FMDL-58-22,480 mm | 580 mm | 19 mm,,Each,25,554,
Premium Locks,"Front Multi Drawer Lock Cutout: Ø 19 mm,",P-FMDL-58-SF,580 mm | 19 mm,,Each,25,567,
Premium Locks,Anti-Tilt Bar - L635 (2,ATB2D-635,635 mm,ZW,Each,635,695,
Premium Locks,Anti-Tilt Bar - L890 (3,ATB3D-890,890 mm,ZW,Each,890,919,
Premium Locks,Cam Lock - Standard P-MCL1-22 Cutout: Ø 19 mm NP Each 20 397,P-MCL2-25,19 mm | 30 mm,,Each,20,392,
Premium Locks,Cam Lock - Threaded (25,P-MCL2-30,19 mm | 30 mm,,Each,20,404,
Premium Locks,Push Lock 32 (for Sliding,PSW1-32,32 mm,,Each,32,421,
Bed & Wardrobe Fittings,Pedestal Lock - Steel Cutout: Ø 16 mm x Ø,P-MPL2-SF,16 mm | 19 mm,,Each,18,372,
Bed & Wardrobe Fittings,Drawer 19 mm,P-GDLS1,19 mm | 9 mm | 12 mm,,Each,20,491,
Bed & Wardrobe Fittings,Single Glass Door Lock,P-GDLS2,9 mm | 12 mm,,Each,20,502,
Bed & Wardrobe Fittings,Single Glass Door Lock,P-GDLD1,12 mm | 9 mm,,Each,18,500,
Bed & Wardrobe Fittings,Double Glass Door Lock,P-GDLD2,9 mm | 12 mm,,Each,18,500,
Bed & Wardrobe Fittings,Wardrobe Lock - 3 Point,P-WL3-22-20,2000 mm | 22 mm,,,2000,"1,060",
Bed & Wardrobe Fittings,Wardrobe Lock - 3 Point,P-WL1-22-25,22 mm | 19 mm | 32 mm,,,10,"1,547",
Bed & Wardrobe Fittings,Wardrobe Lock - 3 Point,P-WL1-32-25,19 mm | 32 mm,,,10,"1,612",
Bed & Wardrobe Fittings,Wardrobe Lock - 3 Point,P-WL2-22-I,19 mm | 22 mm,,,10,"1,166",
Bed & Wardrobe Fittings,Inset (22mm),P-WL2-22-S,19 mm | 22 mm,,,10,"1,242",
Bed & Wardrobe Fittings,Wardrobe Lock - 2 Point -,P-WL2-32-I,19 mm | 32 mm,,,10,"1,228",
Bed & Wardrobe Fittings,Storage Lock - 2 point -,P-SL2-22-I,19 mm | 32 mm | 600 X 2,,,10,812,
Bed & Wardrobe Fittings,Walk-in Sliding Push Lock - BL/CG/BG/,P-WSPL-GW,30 mm | 60 x 30,,Each,30,471,
Bed & Wardrobe Fittings,Walk-in Sliding Push Lock - BL/CG/BG/,P-WSPL-AL,24 mm | 50 x 24,,Each,24,451,
Aluminium Profiles & Handles,Lock Core with 3 Keys (5000,P-LC3FL,,,Each,,406,
Aluminium Profiles & Handles,MD Lock Bracket Kit-,MDLK-P,,,,100,26,
Bed & Wardrobe Fittings,Sliding Wardrobe Lock,P-WLS1-19,19 mm,,Each,10,442,
Bed & Wardrobe Fittings,Sliding Wardrobe Lock,P-WLS1-25,19 mm | 25 mm,,Each,10,498,
Bed & Wardrobe Fittings,Sliding Wardrobe Lock,P-WLS1-32,25 mm | 32 mm,,Each,32,551,
Bed & Wardrobe Fittings,Sliding Wardrobe Lock,P-WLS1-35,32 mm | 35 mm,,Each,35,558,
Bed & Wardrobe Fittings,Sliding Wardrobe Lock,P-WLS2-SM-L,35 mm,,Each,10,435,
Bed & Wardrobe Fittings,(Side Mount) L/R,P-WLS2-SM-R,,,Each,10,435,
Furniture Locks,Round straight,MPL1-22M,20 mm,,Each,25,273,
Furniture Locks,Square Lock 22 mm with,SQL1-22,22 mm | 20 mm,,Each,25,197,
Furniture Locks,Square Lock 32 mm with,SQL1-32,20 mm | 32 mm,,Each,18,325,
Furniture Locks,Receiver Plate,FMDL48,480 mm | 580 mm,,Each,25,347,
Furniture Locks,Front Multi Drawer Lock,FMDL58,480 mm | 580 mm,,Each,25,363,
Furniture Locks,Cam Lock - Standard MCL1-22 Cutout: Ø 20 mm NP Each 18 204,MCL2-16,20 mm,,Each,25,186,
Furniture Locks,Cam Lock - Threaded (16,MCL2-25,20 mm | 19 x 16 | 25 mm | 30 mm,,Each,25,188,
Furniture Locks,Cam Lock - Threaded (16,MCL2-30,19 x 16 | 25 mm | 30 mm,,Each,18,193,
Furniture Locks,Cam Lock - Steel,MCL20-SF,20 mm,,Each,25,298,
Furniture Locks,Pedestal Lock with Metal,MPL2-22M,19 mm,,Each,18,235,
Furniture Locks,Mortise Lock for Cabinet,SML1-22,19 mm,,Each,18,298,
Furniture Locks,Cupboard Lock (Longer,CSQL1LK,,,Each,10,318,
Furniture Locks,Cupboard Lock for Steel,CSQL3-SF,,,Each,,605,
Furniture Locks,Cupboard Sliding Lock,CSL1-25-S2,25 mm,,,2,"1,282",
Furniture Locks,Steel Cabinet Handle Metal Thickness: 0.62,P-SH1,9 mm,BL,Each,10,54,
Target Locks,Square Lock 22mm with,E-SQL2-22,22 mm | 19 mm,,Each,19,134,
Target Locks,Receiver Plate,E-SQL1-32,19 mm | 32 mm,,Each,10,185,
Target Locks,with Metal Keys,E-SQL1-32-M,32 mm | 19 mm,,Each,10,187,
Target Locks,Cam Lock - Standard E-MCL1-22 Cutout: Ø 20 mm NP Each 10 128,E-MCL2-16,23 mm,,Each,10,104,
Target Locks,Cam Lock - Threaded (16,E-MCL2-25,23 mm | 25 mm | 30 mm,,Each,10,118,
Target Locks,Cam Lock - Threaded (16,E-MCL2-30,23 mm | 25 mm | 30 mm,,Each,10,118,
Target Locks,Pedestal Lock with Metal,E-MPL2-20-M,20 mm,,Each,10,141,
Target Locks,Mortise Lock for Cabinet,E-SML1-22,20 mm,,Each,10,162,
Speciality Locks,Sliding door,P-SRC-20D,20 mm | 23 mm,,Each,20,670,
Speciality Locks,Sliding door,P-SRC-23D,20 mm | 23 mm | 25 mm,,Each,10,679,
Speciality Locks,(with Dimple Keys) - 690,P-SRC-29D,25 mm | 29 mm | 32 mm,,Each,29,10,
Speciality Locks,(with Dimple Keys) - 690,P-SRC-32D,29 mm | 32 mm | 35 mm,,Each,32,695,
Speciality Locks,(with Dimple Keys) - 690,P-SRC-35D,32 mm | 35 mm | 20 mm,,Each,10,717,
Speciality Locks,(with Dimple Keys) - 690,P-SRC-20D-BL,35 mm | 20 mm | 23 mm,BL/BL,Each,20,610,
Speciality Locks,Capped Dimple Keys),P-SRC-32D-BL,23 mm | 32 mm | 20 mm,BL/BL,Each,32,648,
Speciality Locks,Capped Dimple Keys),P-SRC-20B,32 mm | 20 mm | 23 mm,,Each,10,437,
Speciality Locks,Capped Dimple Keys),P-SRC-23B,20 mm | 23 mm | 25 mm,,Each,10,437,
Speciality Locks,(with brass key) 446,P-SRC-29B,25 mm | 29 mm | 32 mm,,Each,,10,
Speciality Locks,(with brass key) 446,P-SRC-32B,29 mm | 32 mm | 35 mm,,Each,10,446,
Speciality Locks,(with brass key) 446,P-SRC-35B,32 mm | 35 mm | 16 mm,,Each,10,446,
Speciality Locks,(with brass key) 446,P-SRD-16B,35 mm | 16 mm | 20 mm,,Each,10,392,
Speciality Locks,(with brass key) 446,P-SRD-20B,16 mm | 20 mm | 23 mm,,Each,10,392,
Speciality Locks,SecuRite Drawer Lock,P-SRD-23B,20 mm | 23 mm | 25 mm,,Each,10,392,
Speciality Locks,(with brass key),P-SRD-25B,23 mm | 25 mm | 29 mm,,Each,10,392,
Speciality Locks,(with brass key),P-SRD-29B,25 mm | 29 mm | 20 mm,,Each,10,406,
Speciality Locks,(with brass key),P-SRD1-20D-BS,29 mm | 20 mm | 25 mm,,Each,20,448,
Speciality Locks,(with brass key),P-SRD1-25D-BS,20 mm | 25 mm | 30 mm,,Each,25,452,
Speciality Locks,Dimple Keys) P-SRD1-20D-BL 20 mm BL Each 423,P-SRD1-25D-BL,20 mm | 25 mm | 30 mm,BL/BL,Each,25,424,
Speciality Locks,Dimple Keys) P-SRD1-20D-BL 20 mm BL Each 423,P-SRD1-30D-BL,25 mm | 30 mm,BL/BL,Each,30,438,
Speciality Locks,3 Digit Combination Lock -,P-CLW3-18L-BL,20 mm,BL/BL,Each,20,590,
Speciality Locks,3 Digit Combination Lock -,P-CLP3-18R-BL,20 mm,BL/BL,Each,20,590,
Speciality Locks,4 Digit Combination Lock -,P-CLW4A-18L-BL,20 mm,BL/BL,Each,20,726,
Speciality Locks,4 Digit Combination Lock -,P-CLW4A-18R-BL,20 mm,BL/BL,Each,20,725,
Speciality Locks,4 Digit Combination Lock -,P-CLP4A-18R-BL,20 mm,BL/BL,Each,20,725,
Speciality Locks,4 Digit Combination Lock -,P-CLP4A-18L-BL,20 mm,BL/BL,Each,20,725,
Furniture Locks,Lock with Cover -,P-CLP4B-18R-BL,20 mm,BL/BL,Each,20,725,
Furniture Locks,Pedestal (Right) with,P-CLWV418-R-AT,20 mm,,Each,10,764,
Furniture Locks,Lock - Wood (Vertical),P-CLWV418-L-AT,20 mm,,Each,10,764,
Furniture Locks,Key for 3 & 4 Digit,P-CL-18-K1,,,Each,,35,
Furniture Locks,4 Digit Combination Cutout: 65 x 93.5,P-CLSC-4,65 x 93,BL,Each,10,"1,251",
Bed & Wardrobe Fittings,Lock - Wardrobe 2 16-20mm wood,P-CLWL2-20,20 mm,BL,,10,"2,354",
Bed & Wardrobe Fittings,20mm)(Left),FMDS1-48,480 mm,,Each,100,152,
Aluminium Profiles & Handles,accessories,FMDS1-58,480 mm | 580 mm,,Each,100,173,
ESmart Digital Locks,Horizontal Right -,ESDL2-HR-FNN-BL,,BL/BL,Each,,"4,114",
ESmart Digital Locks,Horizontal Left -,ESDL2-HL-FNN-BL,,BL/BL,Each,,"4,114",
ESmart Digital Locks,Numeric + NFC,ESDL2-NFC-AC1,,,Each,,108,
ESmart Digital Locks,NFC Card,ESDL2-NFC-UC1,,,Each,,108,
Other Locks / Latches,Swing Door Lock -,SWDL-A1,,,Each,10,"1,143",
Bed & Wardrobe Fittings,Push Latch - Big (for Walk-,PLB-25-30,30 mm,,Each,,312,
Secutek Locks,Lock Receiver Plate LRP1 - NP Each 1000 2746 /500pcs,KH2-CP,24 mm | 14 mm,CP/CP,Each,,39,
Secutek Locks,Key Hole 2 KH2-AQ AQ Each 54,KH2-NP,24 mm | 14 mm,,Each,,54,
Retail Display Systems,Hanging Bracket DSS-HB - AT Set of 2 Pcs 20 101,DSS-WS61,150 mm | 225 mm | 300 mm,,Each,12,110,
Retail Display Systems,with Nut and Screw DSS-WS121 300 mm AT Each 8 166,DSS-WS151,150 mm | 225 mm | 300 mm | 375 mm,,Each,6,193,
Retail Display Systems,with Nut and Screw DSS-WS121 300 mm AT Each 8 166,DSS-GS61,225 mm | 300 mm | 375 mm | 150 mm,,Each,20,90,
Retail Display Systems,with Nut and Screw DSS-GS121 300 mm AT Each 14 132,DSS-GS151,150 mm | 225 mm | 300 mm | 375 mm,,Each,12,155,
Retail Display Systems,with Nut and Screw DSS-GS121 300 mm AT Each 14 132,DSS-HH61W,300 mm | 375 mm,,Each,25,206,
Retail Display Systems,Mount,DSS-HH101W,,,Each,25,249,
Retail Display Systems,Horizontal Hanger (Rect) -,DSS-RHB1,75 mm,,Pair,12,206,
Retail Display Systems,Horizontal Hanger (Rect) -,DSS-RHHB1,250 mm,,Each,8,94,
Retail Display Systems,Horizontal Hanger,DSS-HHB1,250 mm | 300 mm,,Pair,2,444,
Retail Display Systems,Cube Shelving Connector -,CSPC-B,53 x 18 x 18,BL/BG,PC,18,41,
Retail Display Systems,Cube Shelving Connector -,CSPC-2W,53 x 53 x 18,BL/BG,PC,18,47,
Retail Display Systems,Cube Shelving Connector -,CSPC-3W,88 x 53 x 18,BL/BG,PC,18,53,
Retail Display Systems,Cube Shelving Connector -,CSPC-3WC,53 x 53 x 53,BL/BG,PC,53,65,
Retail Display Systems,Cube Shelving Connector -,CSPC-4W,88 x 88 x 18,BL/BG,PC,18,65,
Retail Display Systems,Cube Shelving Connector -,CSPC-4WE,53 x 53 x 88,BL/BG,PC,88,74,
Retail Display Systems,Cube Shelving Connector -,CSPC-5W,88 x 88 x 53,BL/BG,PC,53,76,
Retail Display Systems,Cube Shelving Connector,CSPC-AL-2W,53 x 53 x 18,BL,PC,18,123,
Aluminium Profiles & Handles,Cube Shelving Connector,CSPC-AL-3W,88 x 53 x 18,BL,PC,18,137,
Retail Display Systems,Cube Shelving Connector,CSPC-AL-4W,88 x 88 x 18,BL,PC,18,143,
Aluminium Profiles & Handles,Cube Shelving Connector,CSPC-AL-5W,88 x 88 x 53,BL,PC,53,161,
Aluminium Profiles & Handles,Cube - Aluminium Profile,CSPC-3M-AP-BL,18 x 18,BL/BL,PC,18,825,
Aluminium Profiles & Handles,Cube - Aluminium Profile,CSPC-3M-AP-BG,18 x 18,,PC,18,"1,103",
Aluminium Profiles & Handles,Cube - Aluminium Profile,CSPC-3M-APGS-BL,18 x 22 | 5 mm,BL/BL,PC,22,890,
Aluminium Profiles & Handles,Cube - Aluminium Profile,CSPC-3M-APGS-BG,18 x 22 | 5 mm,,PC,22,"1,250",
Aluminium Profiles & Handles,Cube - Aluminium Profile,CSPC-3M-APGS-BL,18 x 22 | 6 mm,BL/BL,PC,22,890,
Aluminium Profiles & Handles,Cube - Aluminium Profile,CSPC-3M-APGS-BG,18 x 22 | 6 mm,,PC,22,"1,250",
Aluminium Profiles & Handles,Cube - Aluminium Profile,CSPC-3M-APBS-BL,18 x 24 | 16 mm,BL/BL,PC,24,924,
Aluminium Profiles & Handles,Cube - Aluminium Profile,CSPC-3M-APBS-BG,18 x 24 | 16 mm,,PC,24,"1,252",
Aluminium Profiles & Handles,Cube - Aluminium Profile,CSPC-3M-APB-BL,18 x 24 | 16 mm,BL/BL,PC,24,957,
Aluminium Profiles & Handles,Cube - Aluminium Profile,CSPC-3M-APB-BG,18 x 24 | 16 mm,,PC,24,"1,215",
"Window, Door & Glass Hardware",for 16mm Board,FRS8HL,205 mm | 255 mm,,Set of 2 Pcs,8,394,
"Window, Door & Glass Hardware",for 16mm Board,FRS10HL,205 mm | 255 mm | 305 mm,,Set of 2 Pcs,25,425,
"Window, Door & Glass Hardware",for 16mm Board,FRS12HL,255 mm | 305 mm | 355 mm,,Set of 2 Pcs,25,471,
"Window, Door & Glass Hardware","(SS304) FRS16HL 405 mm (16"") RS Set of 2 Pcs 900",FRS20HL,355 mm | 405 mm | 510 mm | 610 mm,,Set of 2 Pcs,20,"1,036",
"Window, Door & Glass Hardware","(SS304) FRS16HL 405 mm (16"") RS Set of 2 Pcs 900",FRS24HL,510 mm | 610 mm | 710 mm,,Set of 2 Pcs,24,"1,181",
"Window, Door & Glass Hardware","(SS304) FRS16HL 405 mm (16"") RS Set of 2 Pcs 900",FRS28HL,610 mm | 710 mm | 500 mm,,Set of 2 Pcs,28,"1,316",
"Window, Door & Glass Hardware","(SS304) FRS16HL 405 mm (16"") RS Set of 2 Pcs 900",FRS20-HD,710 mm | 500 mm,,Set of 2 Pc,1,"1,610",
"Window, Door & Glass Hardware","Friction Stay Heavy Duty FRS24-HD 600 mm (24"") Set of 2 Pc 1 2121",FRS28-HD,600 mm | 700 mm,,Set of 2 Pc,1,"2,886",
"Window, Door & Glass Hardware","Friction Stay Heavy Duty FRS24-HD 600 mm (24"") Set of 2 Pc 1 2121",FRS1319-10,700 mm | 250 mm | 13 x 19 x 250,,Set of 2 pcs,250,620,
Aluminium Profiles & Handles,Euro Groove),FRS1319-14,300 mm | 13 x 19 x 300 | 350 mm | 13 x 19 x 350,,Set of 2 pcs,350,805,
Aluminium Profiles & Handles,Window Handle - Heavy,AWH-H1L,36x18,WH/BL,Each,,197,
Aluminium Profiles & Handles,Window Handle - Heavy,AWH-H1R,36x18,WH/BL,Each,,197,
Aluminium Profiles & Handles,Al Window Handle,AWH-D2L,,WH/BL,Each,,343,
Aluminium Profiles & Handles,Al Window Handle,AWH-D2R,40x40,WH/BL,Each,,343,
Aluminium Profiles & Handles,Mortise Window Handle -,AWH-DML3,,WH/BL,Each,,471,
Aluminium Profiles & Handles,Window-Door Handle with,WDH1-PL,71x53,WH/BL,Each,,262,
"Window, Door & Glass Hardware",Sliding Window Lock 1925,P-SWL-1K,,BL,Pair,50,527,
"Window, Door & Glass Hardware",(with keys),SWL,,,Set of 2 Pcs,20,464,
"Window, Door & Glass Hardware",Sliding Window Latch,SWL1,,,Pair,25,574,
"Window, Door & Glass Hardware",Sliding Window Latch - BR/BL/WW/,SWL4,,,Pair,25,612,
"Window, Door & Glass Hardware",Sliding Window Latch - WW/SL/,SWL5,,,Pair,25,587,
"Window, Door & Glass Hardware",Sliding Window Latch - WW/BL/,SWLC,,,Set of 2 Pcs,20,419,
"Window, Door & Glass Hardware",Click Fit (with SWLC-F) AC,SWL2-C,,,Each,100,12,
"Window, Door & Glass Hardware",Click Fit (with SWLC-F) AC,SWL3-D,,BL/WW,Each,100,12,
"Window, Door & Glass Hardware",Click Fit (with SWLC-F) AC,SWL4-C,,,Each,100,35,
"Window, Door & Glass Hardware",Receiver Plate SL/WM/CG,SWL5-CP,,CP/SS,Each,100,11,
"Window, Door & Glass Hardware",SDF-12 mm Bottom Guide,SDF-BG12,12 mm,GR,Each,,29,
"Window, Door & Glass Hardware",SDF 12mm Bottom Guide -,SDF-BG12-SS,12 mm,SS/SS,Each,,52,
Aluminium Profiles & Handles,Soft Close Kit for SDF 125 Load Capacity:,SDF-SC,,GR,Each,20,538,
"Window, Door & Glass Hardware",Sliding Partition System,AK-LSPS-100W-SC,,,kg,80,"6,521",
"Window, Door & Glass Hardware",Sliding Partition System,AK-LSPS-100A-SC,,,kg,80,"7,561",
"Window, Door & Glass Hardware",Partition System 100 -,SSPS-100W-SC,,,kg,80,"18,938",
"Window, Door & Glass Hardware",Partition System 100 -,SSPS-100A-SC,,,kg,80,"22,548",
"Window, Door & Glass Hardware",Latch) HL1-SPS-BG - BG Set 2833,MHLK-SPS-BL,,BL/BL,,,"4,551",
"Window, Door & Glass Hardware",(with keys),MHLK-SPS-BG,,,,,"5,066",
"Window, Door & Glass Hardware",(with keys),MHL-SPS-BL,,BL/BL,,,"3,912",
"Window, Door & Glass Hardware",(keyless),MHL-SPS-BG,,,,,"4,327",
Aluminium Profiles & Handles,Partition System),SPS-TBP,,SS,Set of 2 pcs,,"2,690",
Aluminium Profiles & Handles,Sliding Door/Partition System),ADP2-S,,,,,901,
Aluminium Profiles & Handles,(for Sliding Partition System),SPS-FDBW1,12000 mm,ZW,,,"1,022",
"Window, Door & Glass Hardware",Wood Sliding Folding,WSFS-FA,,ZW,,,583,
"Window, Door & Glass Hardware",AQ P-DKL2-AT AT Each 1955,P-DKL2-CP,40 mm,CP/CP,Each,,"1,955",
Aluminium Profiles & Handles,CP version),P-DKL2-BS,40 mm,,Each,,"1,955",
Aluminium Profiles & Handles,CP version),P-DKL2-AQ,,,Each,,"1,955",
Aluminium Profiles & Handles,CP version),P-DKL2K-AT,,,Each,,"2,208",
Aluminium Profiles & Handles,CP version),P-DKL2K-CP,40 mm,CP/CP,Each,,"2,208",
Aluminium Profiles & Handles,BS (Aluminium version),P-DKL2K-BS,40 mm,,Each,,"2,208",
Aluminium Profiles & Handles,BS (Aluminium version),P-DKL2K-AQ,,,Each,,"2,208",
Aluminium Profiles & Handles,Presto Door Knob Lock -,BKPL1,23 mm | 42 mm,BL,Each,42,959,
Aluminium Profiles & Handles,Presto Door Knob Lock -,P-DKL-OT,,,Each,,49,
"Window, Door & Glass Hardware",Opening Tool,MDHBZ-B1-AQ,,,Each,,"5,129",
"Window, Door & Glass Hardware",Mortise Door Handle Brass,MDHBZ-B1-BL,35 mm | 250 x 35,BL/BL,Each,250,"5,129",
"Window, Door & Glass Hardware",Zen - Backplate 1,MDHBZ-B1-NB,35 mm | 250 x 35,,Each,,"5,129",
"Window, Door & Glass Hardware",Zen - Backplate 1,MDHBZ-B2-AQ,,,Each,,"5,763",
"Window, Door & Glass Hardware",Mortise Door Handle Brass,MDHBZ-B2-BL,35 mm | 250 x 35,BL/BL,Each,250,"5,763",
"Window, Door & Glass Hardware",Zen - Backplate 2,MDHBZ-B2-NB,35 mm | 250 x 35,,Each,,"5,763",
"Window, Door & Glass Hardware",Hole - ?50mm,MKHBZ50-AQ,50 mm,,Pair,,733,
"Window, Door & Glass Hardware",Mortise Key Hole Brass,MKHBZ50-BL,50 mm,BL/BL,Pair,,733,
"Window, Door & Glass Hardware",Zen - ?50mm,MKHBZ50-NB,50 mm,,Pair,,733,
"Window, Door & Glass Hardware",Zen - ?50mm,MKHBZ60-AQ,50 mm | 60 mm,,Pair,,981,
"Window, Door & Glass Hardware",Mortise Key Hole Brass,MKHBZ60-BL,60 mm,BL/BL,Pair,,981,
"Window, Door & Glass Hardware",Zen - ?60mm,MKHBZ60-NB,60 mm,,Pair,,981,
"Window, Door & Glass Hardware",Zen - ?60mm,MDLBBZ1-50-AQ,,,Each,,"1,410",
"Window, Door & Glass Hardware",Mortise Door Lock Body,MDLBBZ1-50-BL,50 mm | 85 x 50,BL/BL,Each,85,"1,410",
"Window, Door & Glass Hardware",Brass Zen 1 (85 x 50mm),MDLBBZ1-50-NB,50 mm | 85 x 50,,Each,,"1,410",
"Window, Door & Glass Hardware",Brass Zen 1 (85 x 50mm),MDLBBZ2-50-AQ,50 mm | 85 x 50,,Each,,"1,240",
"Window, Door & Glass Hardware",Mortise Door Lock Body,MDLBBZ2-50-BL,50 mm | 85 x 50,BL/BL,Each,85,"1,240",
"Window, Door & Glass Hardware",Brass Zen 2 (85 x 50mm),MDLBBZ2-50-NB,50 mm | 85 x 50,,Each,,"1,240",
"Window, Door & Glass Hardware",Brass Zen 2 (85 x 50mm),MDLBBZ2-60-AQ,50 mm | 85 x 50 | 60 mm | 85 x 60,,Each,,"1,333",
