Category,Item Name,Item Code,Size,Finish,PCS / Set,SPU,MRP (?),New Product
Drawer Slides,Slides - (I) 35 450 mm,STDS40-I-45,Load: 45 kgs | 400 mm | 450 mm,ZW/ZB,Set of 2 Pcs,10,463,
Drawer Slides,Slides - (I) 45 450 mm,STDS45-I-45,Load: 45 kgs | 450 mm | 500 mm,ZW/ZB,Set of 2 Pcs,10,520,
Drawer Slides,Slides - (I) 45 450 mm,STDS50-I-45,Load: 45 kgs | 500 mm | 550 mm,ZW/ZB,Set of 2 Pcs,10,568,
Drawer Slides,Slides - (I) 45 450 mm,STDS55-I-45,Load: 45 kgs | 550 mm | 600 mm,ZW/ZB,Set of 2 Pcs,10,635,
Drawer Slides,Slides - (I) 45 450 mm,STDS60-I-45,Load: 45 kgs | 600 mm,ZW/ZB,Set of 2 Pcs,10,693,
Drawer Slides,Slides - (I) 45 450 mm,STDS30-35-SC,Load: 45 kgs | 300 mm | Load: 35 kgs | 350 mm,ZW,Set of 2 Pcs,,768,
Drawer Slides,Slides - (I) 45 450 mm,STDS35-35-SC,Load: 35 kgs | 350 mm | 400 mm,ZW,Set of 2 Pcs,,847,
Drawer Slides,Slides - (I) 45 450 mm,STDS40-35-SC,Load: 35 kgs | 400 mm | 450 mm,ZW,Set of 2 Pcs,,926,
Drawer Slides,Sleek Telescopic Drawer 450 mm,STDS45-35-SC,Load: 35 kgs | 450 mm | 500 mm,ZW,Set of 2 Pcs,,"1,010",
Drawer Slides,Slides- 35 -Soft Close Load: 35 kgs,STDS50-35-SC,Load: 35 kgs | 500 mm | 550 mm,ZW,Set of 2 Pcs,,"1,089",
Drawer Slides,Slides- 35 -Soft Close Load: 35 kgs,STDS55-35-SC,Load: 35 kgs | 550 mm | 600 mm,ZW,Set of 2 Pcs,,"1,186",
Drawer Slides,Slides- 35 -Soft Close Load: 35 kgs,STDS60-35-SC,Load: 35 kgs | 600 mm,ZW,Set of 2 Pcs,,"1,265",
Drawer Slides,Slides- 35 -Soft Close Load: 35 kgs,PSTDS30-35-SC,Load: 35 kgs | 300 mm | 350 mm,ZW,Set of 2 Pcs,300,"1,065",
Drawer Slides,Slides- 35 -Soft Close Load: 35 kgs,PSTDS35-35-SC,300 mm | 350 mm | 400 mm,ZW,Set of 2 Pcs,350,"1,121",
Drawer Slides,Slides- 35 -Soft Close Load: 35 kgs,PSTDS40-35-SC,350 mm | 400 mm | 450 mm,ZW,Set of 2 Pcs,400,"1,166",
Drawer Slides,Premium Sleek Telescopic,PSTDS45-35-SC,400 mm | 450 mm | 500 mm,ZW,Set of 2 Pcs,450,"1,267",
Drawer Slides,Slides (35 kg) - Soft Close,PSTDS50-35-SC,450 mm | 500 mm | 550 mm,ZW,Set of 2 Pcs,500,"1,334",
Drawer Slides,Slides (35 kg) - Soft Close,STDS1-30-35SS,300 mm | 350 mm,SS,Set of 2 Pcs,300,"1,458",
Drawer Slides,Slides (35 kg) - Soft Close,STDS1-35-35SS,300 mm | 350 mm | 400 mm,SS,Set of 2 Pcs,350,"1,708",
